name,type,core,mem,kID,cycles,totalpower,dynpower,corepower,mempower,time,performance,normdynpowerDFS,normdynpowerDVFS,normtotalpowerDFS,normtotalpowerDVFS,effDFS,effDVFS,int_ins,int_bytes
atax,1,600,900,1,35212172,87.28,32.28,31.7,0.58,58686,0.96,1,0.5,1,0.49,0.97,1.96,4.01,0.06
atax,1,800,900,1,46298353,87.31,32.31,31.72,0.59,57872,0.98,1,0.65,1,0.64,0.98,1.52,4.01,0.06
atax,1,1000,900,1,56859277,87.34,32.34,31.75,0.6,56859,1,1,0.81,1,0.81,1,1.23,4.01,0.06
atax,1,1200,900,1,67942745,87.37,32.37,31.77,0.6,56618,1,1,1,1,1,1,1,4.01,0.06
atax,1,1200,750,1,69439406,87.2,32.2,31.61,0.59,57866,0.98,0.99,0.99,1,1,0.98,0.98,4.01,0.06
atax,1,1200,600,1,71637807,87.02,32.02,31.45,0.57,59698,0.95,0.99,0.98,1,0.99,0.95,0.95,4.01,0.06
atax,1,1200,450,1,75071605,86.83,31.83,31.29,0.54,62559,0.91,0.98,0.97,0.99,0.99,0.91,0.91,4.01,0.06
atax,1,600,900,2,174516,92.31,37.31,33.93,3.38,290,0.83,0.96,0.51,0.98,0.5,0.85,1.66,4.01,0.12
atax,1,800,900,2,211034,93.05,38.05,34.32,3.73,263,0.92,0.98,0.66,0.99,0.65,0.93,1.41,4.01,0.12
atax,1,1000,900,2,249575,93.57,38.57,34.63,3.94,249,0.97,0.99,0.82,1,0.81,0.97,1.19,4.01,0.12
atax,1,1200,900,2,290121,93.96,38.96,34.89,4.07,241,1,1,1,1,1,1,1,4.01,0.12
atax,1,1200,750,2,293681,93.71,38.71,34.69,4.02,244,0.99,0.99,0.97,1,0.99,0.99,1,4.01,0.12
atax,1,1200,600,2,298367,93.44,38.44,34.49,3.95,248,0.97,0.99,0.95,0.99,0.98,0.98,0.99,4.01,0.12
atax,1,1200,450,2,306294,93.11,38.11,34.25,3.85,255,0.95,0.98,0.93,0.99,0.97,0.95,0.97,4.01,0.12
bfs,1,600,900,1,4262718,89.24,34.24,33.31,0.94,7104,0.54,0.91,0.46,0.96,0.48,0.56,1.13,32.77,0.26
bfs,1,800,900,1,4349407,90.33,35.33,34.11,1.22,5436,0.7,0.94,0.61,0.97,0.63,0.72,1.12,32.77,0.26
bfs,1,1000,900,1,4458270,91.49,36.49,35,1.49,4458,0.86,0.97,0.79,0.99,0.8,0.87,1.07,32.77,0.26
bfs,1,1200,900,1,4574663,92.72,37.72,35.97,1.75,3812,1,1,1,1,1,1,1,32.77,0.26
bfs,1,1200,750,1,4586952,92.54,37.54,35.81,1.74,3822,1,1,0.99,1,0.99,1,1,32.77,0.26
bfs,1,1200,600,1,4614004,92.35,37.35,35.62,1.73,3845,0.99,0.99,0.97,1,0.99,1,1,32.77,0.26
bfs,1,1200,450,1,4650775,92.15,37.15,35.43,1.72,3875,0.98,0.99,0.96,0.99,0.98,0.99,1,32.77,0.26
bicg,1,600,900,1,174828,92.3,37.3,33.93,3.37,291,0.83,0.96,0.51,0.98,0.5,0.85,1.66,4.01,2
bicg,1,800,900,1,211377,93.03,38.03,34.31,3.72,264,0.92,0.98,0.66,0.99,0.65,0.93,1.41,4.01,2
bicg,1,1000,900,1,249827,93.56,38.56,34.62,3.93,249,0.97,0.99,0.82,1,0.81,0.98,1.19,4.01,2
bicg,1,1200,900,1,290572,93.94,38.94,34.88,4.06,242,1,1,1,1,1,1,1,4.01,2
bicg,1,1200,750,1,294274,93.69,38.69,34.68,4.01,245,0.99,0.99,0.97,1,0.99,0.99,1,4.01,2
bicg,1,1200,600,1,298834,93.42,38.42,34.48,3.94,249,0.97,0.99,0.95,0.99,0.98,0.98,0.99,4.01,2
bicg,1,1200,450,1,306910,93.08,38.08,34.24,3.84,255,0.95,0.98,0.93,0.99,0.97,0.96,0.98,4.01,2
bicg,1,600,900,2,35055434,87.28,32.28,31.7,0.58,58425,0.97,1,0.5,1,0.49,0.97,1.96,4.01,0.12
bicg,1,800,900,2,46123508,87.31,32.31,31.72,0.59,57654,0.98,1,0.65,1,0.64,0.98,1.52,4.01,0.12
bicg,1,1000,900,2,56667913,87.35,32.35,31.75,0.6,56667,1,1,0.81,1,0.81,1,1.23,4.01,0.12
bicg,1,1200,900,2,67733636,87.37,32.37,31.77,0.6,56444,1,1,1,1,1,1,1,4.01,0.12
bicg,1,1200,750,2,69226181,87.2,32.2,31.61,0.59,57688,0.98,0.99,0.99,1,1,0.98,0.98,4.01,0.12
bicg,1,1200,600,2,71420833,87.02,32.02,31.45,0.57,59517,0.95,0.99,0.98,1,0.99,0.95,0.95,4.01,0.12
bicg,1,1200,450,2,74846756,86.83,31.83,31.29,0.55,62372,0.9,0.98,0.97,0.99,0.99,0.91,0.91,4.01,0.12
BW-mb,0,600,900,1,306540,111.91,56.91,21.36,35.55,510,0.98,0.93,0.75,0.96,0.63,1.02,1.57,1.09,0.27
BW-mb,0,800,900,1,400627,114.1,59.1,22.76,36.34,500,1,0.96,0.83,0.98,0.74,1.03,1.36,1.09,0.27
BW-mb,0,1000,900,1,499215,115.42,60.42,23.96,36.46,499,1.01,0.98,0.91,0.99,0.86,1.02,1.17,1.09,0.27
BW-mb,0,1200,900,1,602657,116.49,61.49,25.23,36.26,502,1,1,1,1,1,1,1,1.09,0.27
BW-mb,0,1200,750,1,688048,110.06,55.06,23.27,31.8,573,0.88,0.9,0.8,0.94,0.89,0.93,0.98,1.09,0.27
BW-mb,0,1200,600,1,843257,101.89,46.89,20.93,25.96,702,0.72,0.76,0.61,0.87,0.79,0.82,0.9,1.09,0.27
BW-mb,0,1200,450,1,1106574,93.4,38.4,18.62,19.78,922,0.54,0.62,0.46,0.8,0.72,0.68,0.76,1.09,0.27
convolution2d,1,600,900,1,438179,113.23,58.23,44.53,13.7,730,0.68,0.7,0.42,0.82,0.45,0.83,1.51,6.61,4.03
convolution2d,1,800,900,1,470602,125.51,70.51,53.5,17.01,588,0.84,0.84,0.61,0.9,0.62,0.93,1.35,6.61,4.03
convolution2d,1,1000,900,1,526901,133.5,78.5,59.52,18.99,526,0.94,0.94,0.8,0.96,0.81,0.98,1.17,6.61,4.03
convolution2d,1,1200,900,1,596345,138.77,83.77,63.63,20.13,496,1,1,1,1,1,1,1,6.61,4.03
convolution2d,1,1200,750,1,658533,131.69,76.69,58.47,18.23,548,0.91,0.92,0.87,0.95,0.92,0.95,0.98,6.61,4.03
convolution2d,1,1200,600,1,793604,120.32,65.32,50.19,15.13,661,0.75,0.78,0.71,0.87,0.83,0.87,0.91,6.61,4.03
convolution2d,1,1200,450,1,1046939,106.95,51.95,40.49,11.47,872,0.57,0.62,0.55,0.77,0.73,0.74,0.78,6.61,4.03
convolution3d,1,600,900,1,256859,97.83,42.83,32.41,10.43,428,0.52,0.56,0.34,0.74,0.4,0.7,1.29,7.77,2.12
convolution3d,1,800,900,1,252726,110.32,55.32,41.2,14.12,315,0.71,0.72,0.53,0.84,0.57,0.85,1.23,7.77,2.12
convolution3d,1,1000,900,1,261437,121,66,48.93,17.07,261,0.85,0.86,0.74,0.92,0.77,0.93,1.11,7.77,2.12
